"DateTime","Temperature","Dew Point","Relative Humidity"
"2026-01-21 16:15:00",52,38.84,61
"2026-01-21 16:30:00",48,38.21,69
"2026-01-21 16:46:00",44,37.17,77
"2026-01-21 17:00:00",41,35.24,80
"2026-01-21 17:15:00",40,35.49,84
"2026-01-21 17:30:00",39,35.11,86
"2026-01-21 17:46:00",38,34.43,87
"2026-01-21 18:00:00",37,33.73,88
"2026-01-21 18:15:00",36,32.74,88
"2026-01-21 18:31:00",36,33.03,89
"2026-01-21 18:45:00",35,32.05,89
"2026-01-21 19:01:00",35,32.05,89
"2026-01-21 19:15:00",34,31.06,89
"2026-01-21 19:30:00",34,31.06,89
"2026-01-21 19:45:00",33,30.07,89
"2026-01-21 20:01:00",33,30.07,89
"2026-01-21 20:15:00",33,30.07,89
"2026-01-21 20:30:00",33,29.79,88
"2026-01-21 20:45:00",32,28.8,88
"2026-01-21 21:01:00",32,28.8,88
"2026-01-21 21:15:00",32,28.8,88
"2026-01-21 21:30:00",31,27.82,88
"2026-01-21 21:45:00",31,27.82,88
"2026-01-21 22:00:00",31,27.82,88
"2026-01-21 22:15:00",31,27.25,86
"2026-01-21 22:31:00",31,27.54,87
"2026-01-21 22:45:00",31,27.54,87
"2026-01-21 23:01:00",31,27.82,88
"2026-01-21 23:16:00",30,26.28,86
"2026-01-21 23:31:00",31,26.96,85
"2026-01-21 23:45:00",31,27.25,86
"2026-01-22 00:00:00",31,26.96,85
"2026-01-22 00:16:00",31,27.25,86
"2026-01-22 00:30:00",31,27.25,86
"2026-01-22 00:45:00",31,26.67,84
"2026-01-22 01:00:00",31,26.96,85
"2026-01-22 01:16:00",31,27.25,86
"2026-01-22 01:31:00",31,26.96,85
"2026-01-22 01:46:00",31,26.96,85
"2026-01-22 02:01:00",31,26.96,85
"2026-01-22 02:15:00",30,25.7,84
"2026-01-22 02:31:00",30,25.7,84
"2026-01-22 02:45:00",30,25.7,84
"2026-01-22 03:01:00",30,25.7,84
"2026-01-22 03:15:00",30,25.99,85
"2026-01-22 03:31:00",30,25.7,84
"2026-01-22 03:45:00",30,25.7,84
"2026-01-22 04:00:00",29,25,85
"2026-01-22 04:15:00",29,25,85
"2026-01-22 04:31:00",29,24.42,83
"2026-01-22 04:45:00",29,24.42,83
"2026-01-22 05:01:00",29,24.42,83
"2026-01-22 05:15:00",29,24.42,83
"2026-01-22 05:30:00",29,24.13,82
"2026-01-22 05:45:00",29,24.13,82
"2026-01-22 06:00:00",29,24.42,83
"2026-01-22 06:15:00",29,24.71,84
"2026-01-22 06:30:00",29,24.71,84
"2026-01-22 06:45:00",29,24.71,84
"2026-01-22 07:01:00",29,24.71,84
"2026-01-22 07:15:00",28,23.74,84
"2026-01-22 07:30:00",29,24.42,83
"2026-01-22 07:45:00",29,24.13,82
"2026-01-22 08:00:00",29,24.13,82
"2026-01-22 08:16:00",29,24.13,82
"2026-01-22 08:31:00",30,25.11,82
"2026-01-22 08:45:00",30,25.11,82
"2026-01-22 09:00:00",31,26.08,82
"2026-01-22 09:16:00",31,26.08,82
"2026-01-22 09:31:00",32,26.76,81
"2026-01-22 09:46:00",32,26.76,81
"2026-01-22 10:00:00",33,28.04,82
"2026-01-22 10:15:00",33,28.04,82
"2026-01-22 10:30:00",34,29.01,82
"2026-01-22 10:45:00",35,30,82
"2026-01-22 11:00:00",35,30.88,85
"2026-01-22 11:15:00",36,32.74,88
"2026-01-22 11:30:00",37,34.02,89
"2026-01-22 11:45:00",37,33.44,87
"2026-01-22 12:01:00",37,32.56,84
"2026-01-22 12:15:00",38,32.31,80
"2026-01-22 12:31:00",39,32.97,79
"2026-01-22 12:45:00",40,33.62,78
"2026-01-22 13:00:00",40,32.95,76
"2026-01-22 13:16:00",43,34.48,72
"2026-01-22 13:31:00",42,32.45,69
"2026-01-22 13:46:00",44,33.64,67
"2026-01-22 14:01:00",46,33.17,61
"2026-01-22 14:16:00",47,34.11,61
"2026-01-22 14:30:00",48,33.78,58
"2026-01-22 14:46:00",48,34.21,59
"2026-01-22 15:00:00",48,33.78,58
"2026-01-22 15:15:00",47,33.69,60
"2026-01-22 15:30:00",45,34.2,66
"2026-01-22 15:46:00",43,34.14,71
"2026-01-22 16:01:00",42,34.21,74
"2026-01-22 16:15:00",41,34.27,77
"2026-01-22 16:30:00",40,34.57,81
"2026-01-22 16:45:00",38,33.24,83
"2026-01-22 17:00:00",38,33.84,85
"2026-01-22 17:16:00",37,33.15,86
"2026-01-22 17:31:00",37,33.15,86
"2026-01-22 17:45:00",36,32.45,87
"2026-01-22 18:01:00",36,32.45,87
"2026-01-22 18:16:00",35,31.48,87
"2026-01-22 18:30:00",34,30.78,88
"2026-01-22 18:45:00",34,30.78,88
"2026-01-22 19:00:00",34,31.06,89
"2026-01-22 19:15:00",33,30.07,89
"2026-01-22 19:31:00",33,30.07,89
"2026-01-22 19:45:00",33,30.07,89
"2026-01-22 20:01:00",32,29.08,89
"2026-01-22 20:15:00",32,29.08,89
"2026-01-22 20:31:00",32,29.08,89
"2026-01-22 20:46:00",32,29.08,89
"2026-01-22 21:01:00",32,28.8,88
"2026-01-22 21:15:00",32,28.8,88
"2026-01-22 21:31:00",32,29.08,89
"2026-01-22 21:45:00",33,30.07,89
"2026-01-22 22:00:00",32,29.08,89
"2026-01-22 22:15:00",32,29.08,89
"2026-01-22 22:31:00",32,29.08,89
"2026-01-22 22:46:00",32,29.08,89
"2026-01-22 23:00:00",32,29.08,89
"2026-01-22 23:15:00",31,28.09,89
"2026-01-22 23:30:00",32,29.08,89
"2026-01-22 23:46:00",31,28.09,89
"2026-01-23 00:00:00",31,28.09,89
"2026-01-23 00:15:00",31,28.09,89
"2026-01-23 00:30:00",32,29.08,89
"2026-01-23 00:46:00",31,28.09,89
"2026-01-23 01:00:00",31,28.09,89
"2026-01-23 01:15:00",31,28.09,89
"2026-01-23 01:30:00",30,27.1,89
"2026-01-23 01:45:00",30,27.1,89
"2026-01-23 02:00:00",30,26.83,88
"2026-01-23 02:16:00",29,25.84,88
"2026-01-23 02:30:00",29,25.84,88
"2026-01-23 02:45:00",29,25.84,88
"2026-01-23 03:00:00",29,25.57,87
"2026-01-23 03:15:00",29,25.57,87
"2026-01-23 03:30:00",29,25.57,87
"2026-01-23 03:45:00",29,25.57,87
"2026-01-23 04:01:00",28,24.58,87
"2026-01-23 04:15:00",28,24.58,87
"2026-01-23 04:30:00",28,24.58,87
"2026-01-23 04:45:00",28,24.3,86
"2026-01-23 05:00:00",28,24.3,86
"2026-01-23 05:15:00",28,24.3,86
"2026-01-23 05:31:00",28,24.3,86
"2026-01-23 05:45:00",28,24.3,86
"2026-01-23 06:00:00",27,23.32,86
"2026-01-23 06:15:00",27,23.04,85
"2026-01-23 06:31:00",28,24.03,85
"2026-01-23 06:45:00",27,23.32,86
"2026-01-23 07:00:00",27,23.04,85
"2026-01-23 07:15:00",27,23.04,85
"2026-01-23 07:31:00",27,23.04,85
"2026-01-23 07:45:00",27,23.04,85
"2026-01-23 08:00:00",27,22.75,84
"2026-01-23 08:16:00",27,22.75,84
"2026-01-23 08:30:00",27,22.75,84
"2026-01-23 08:45:00",28,23.45,83
"2026-01-23 09:01:00",28,23.45,83
"2026-01-23 09:15:00",29,24.13,82
"2026-01-23 09:30:00",29,24.13,82
"2026-01-23 09:45:00",30,25.11,82
"2026-01-23 10:00:00",31,26.08,82
"2026-01-23 10:15:00",32,27.36,83
"2026-01-23 10:31:00",33,30.07,89
"2026-01-23 10:45:00",34,31.33,90
"2026-01-23 11:01:00",36,31.87,85
"2026-01-23 11:15:00",38,31.35,77
"2026-01-23 11:30:00",40,29.8,67
"2026-01-23 11:46:00",41,30,65
"2026-01-23 12:00:00",42,29.79,62
"2026-01-23 12:16:00",43,29.5,59
"2026-01-23 12:30:00",44,30.45,59
"2026-01-23 12:45:00",45,30.96,58
"2026-01-23 13:00:00",46,31.03,56
"2026-01-23 13:16:00",46,30.13,54
"2026-01-23 13:30:00",47,29.64,51
"2026-01-23 13:45:00",48,29.57,49
"2026-01-23 14:00:00",47,29.16,50
"2026-01-23 14:15:00",49,30.49,49
"2026-01-23 14:30:00",49,29.98,48
"2026-01-23 14:46:00",48,30.56,51
"2026-01-23 15:01:00",48,30.07,50
"2026-01-23 15:15:00",48,30.07,50
"2026-01-23 15:30:00",49,30.99,50
"2026-01-23 15:45:00",49,28.4,45
"2026-01-23 16:01:00",48,28.54,47
"2026-01-23 16:15:00",48,31.05,52
"2026-01-23 16:30:00",45,31.39,59
"2026-01-23 16:45:00",44,32.09,63
"2026-01-23 17:00:00",42,32.45,69
"2026-01-23 17:15:00",40,31.6,72
"2026-01-23 17:30:00",38,30.36,74
"2026-01-23 17:46:00",38,30.36,74
"2026-01-23 18:01:00",38,30.36,74
"2026-01-23 18:15:00",37,30.38,77
"2026-01-23 18:30:00",35,29.07,79
"2026-01-23 18:45:00",34,29.01,82
"2026-01-23 19:01:00",34,29.32,83
"2026-01-23 19:15:00",33,28.63,84
"2026-01-23 19:30:00",33,28.92,85
"2026-01-23 19:46:00",32,28.24,86
"2026-01-23 20:00:00",32,28.53,87
"2026-01-23 20:15:00",31,27.54,87
"2026-01-23 20:30:00",31,27.82,88
"2026-01-23 20:45:00",31,27.82,88
"2026-01-23 21:01:00",31,27.82,88
"2026-01-23 21:15:00",31,27.82,88
"2026-01-23 21:30:00",30,26.83,88
"2026-01-23 21:46:00",30,26.83,88
"2026-01-23 22:00:00",30,26.83,88
"2026-01-23 22:15:00",30,26.83,88
"2026-01-23 22:30:00",30,27.1,89
"2026-01-23 22:45:00",30,27.1,89
"2026-01-23 23:01:00",30,27.1,89
"2026-01-23 23:16:00",30,27.1,89
"2026-01-23 23:30:00",29,26.13,89
"2026-01-23 23:45:00",29,26.13,89
"2026-01-24 00:01:00",29,26.13,89
"2026-01-24 00:15:00",29,26.13,89
"2026-01-24 00:30:00",28,25.14,89
"2026-01-24 00:45:00",28,25.14,89
"2026-01-24 01:00:00",28,25.14,89
"2026-01-24 01:15:00",28,25.14,89
"2026-01-24 01:31:00",28,25.14,89
"2026-01-24 01:45:00",28,24.85,88
"2026-01-24 02:00:00",28,25.14,89
"2026-01-24 02:15:00",27,23.88,88
"2026-01-24 02:31:00",27,23.88,88
"2026-01-24 02:45:00",27,23.88,88
"2026-01-24 03:01:00",27,23.88,88
"2026-01-24 03:16:00",27,23.88,88
"2026-01-24 03:31:00",27,23.88,88
"2026-01-24 03:45:00",27,23.88,88
"2026-01-24 04:00:00",27,23.88,88
"2026-01-24 04:16:00",26,22.89,88
"2026-01-24 04:31:00",26,22.89,88
"2026-01-24 04:45:00",26,22.62,87
"2026-01-24 05:01:00",27,23.59,87
"2026-01-24 05:15:00",26,22.62,87
"2026-01-24 05:31:00",26,22.62,87
"2026-01-24 05:45:00",26,22.62,87
"2026-01-24 06:00:00",26,22.62,87
"2026-01-24 06:15:00",26,22.62,87
"2026-01-24 06:31:00",26,22.62,87
"2026-01-24 06:46:00",26,22.62,87
"2026-01-24 07:01:00",26,22.62,87
"2026-01-24 07:15:00",26,22.33,86
"2026-01-24 07:30:00",26,22.62,87
"2026-01-24 07:45:00",25,21.34,86
"2026-01-24 08:00:00",25,21.63,87
"2026-01-24 08:16:00",25,21.63,87
"2026-01-24 08:30:00",25,21.63,87
"2026-01-24 08:45:00",25,21.34,86
"2026-01-24 09:01:00",26,22.33,86
"2026-01-24 09:16:00",26,22.06,85
"2026-01-24 09:31:00",27,22.75,84
"2026-01-24 09:45:00",28,23.45,83
"2026-01-24 10:00:00",29,24.71,84
"2026-01-24 10:15:00",30,25.11,82
"2026-01-24 10:30:00",32,28.53,87
"2026-01-24 10:45:00",33,30.07,89
"2026-01-24 11:00:00",34,30.49,87
"2026-01-24 11:15:00",35,30.6,84
"2026-01-24 11:30:00",37,30.7,78
"2026-01-24 11:45:00",38,30.36,74
"2026-01-24 12:00:00",40,31.6,72
"2026-01-24 12:16:00",42,32.09,68
"2026-01-24 12:30:00",44,33.24,66
"2026-01-24 12:45:00",46,33.17,61
"2026-01-24 13:00:00",46,32.76,60
"2026-01-24 13:16:00",45,30.52,57
"2026-01-24 13:30:00",46,30.58,55
"2026-01-24 13:45:00",48,31.51,53
"2026-01-24 14:00:00",49,31.5,51
"2026-01-24 14:16:00",49,30.99,50
"2026-01-24 14:30:00",48,30.56,51
"2026-01-24 14:45:00",49,29.46,47
"2026-01-24 15:00:00",50,28.76,44
"2026-01-24 15:15:00",53,30.34,42
"2026-01-24 15:31:00",53,30.92,43
"2026-01-24 15:45:00",52,30.58,44
"2026-01-24 16:00:00",50,31.93,50
"2026-01-24 16:15:00",47,32.4,57
"2026-01-24 16:31:00",44,32.09,63
"2026-01-24 16:46:00",41,30.76,67
"2026-01-24 17:00:00",39,29.93,70
"2026-01-24 17:15:00",37,29.39,74
"2026-01-24 17:30:00",36,29.41,77
"2026-01-24 17:45:00",35,29.07,79
"2026-01-24 18:00:00",34,28.4,80
"2026-01-24 18:15:00",33,27.73,81
"2026-01-24 18:30:00",33,28.04,82
"2026-01-24 18:45:00",32,27.36,83
"2026-01-24 19:00:00",32,27.36,83
"2026-01-24 19:15:00",31,26.67,84
"2026-01-24 19:30:00",31,26.96,85
"2026-01-24 19:45:00",31,26.96,85
"2026-01-24 20:00:00",30,26.28,86
"2026-01-24 20:15:00",30,26.55,87
"2026-01-24 20:30:00",30,26.55,87
"2026-01-24 20:45:00",30,26.55,87
"2026-01-24 21:00:00",30,26.83,88
"2026-01-24 21:15:00",30,26.83,88
"2026-01-24 21:30:00",29,25.84,88
"2026-01-24 21:45:00",29,25.84,88
"2026-01-24 22:00:00",29,25.84,88
"2026-01-24 22:15:00",29,25.84,88
"2026-01-24 22:30:00",29,26.13,89
"2026-01-24 22:45:00",28,25.14,89
"2026-01-24 23:00:00",28,25.14,89
"2026-01-24 23:15:00",28,25.14,89
"2026-01-24 23:30:00",28,25.14,89
"2026-01-24 23:46:00",28,25.14,89
"2026-01-25 00:01:00",28,25.14,89
"2026-01-25 00:15:00",28,25.14,89
"2026-01-25 00:30:00",27,24.15,89
"2026-01-25 00:45:00",27,24.15,89
"2026-01-25 01:00:00",27,24.15,89
"2026-01-25 01:15:00",27,24.15,89
"2026-01-25 01:31:00",27,24.15,89
"2026-01-25 01:45:00",26,23.16,89
"2026-01-25 02:00:00",26,22.89,88
"2026-01-25 02:15:00",26,23.16,89
"2026-01-25 02:31:00",26,23.16,89
"2026-01-25 02:45:00",26,23.16,89
"2026-01-25 03:00:00",26,22.89,88
"2026-01-25 03:16:00",26,22.89,88
"2026-01-25 03:31:00",26,22.89,88
